Age,Accuracy_Audio,Accuracy_Comprehension,Accuracy_Image,Time_Audio,Time_Comprehension,Time_Image,Learning_Type
13,80,97,27,132,422,339,Comprehensive Learner
12,30,47,3,279,430,276,Comprehensive Learner
14,52,28,49,273,391,192,Auditory Learner
16,33,36,28,224,485,330,Comprehensive Learner
12,37,22,36,294,514,104,Auditory Learner
12,56,37,34,163,481,289,Auditory Learner
16,100,92,19,206,230,229,Auditory Learner
14,3,43,34,128,308,198,Comprehensive Learner
12,1,4,98,59,240,71,Visual Learner
14,11,51,83,92,534,361,Visual Learner
12,34,39,1,57,542,99,Comprehensive Learner
12,69,10,57,175,443,218,Auditory Learner
13,71,77,17,98,463,275,Comprehensive Learner
9,20,1,93,281,220,226,Visual Learner
9,60,34,55,191,307,244,Auditory Learner
11,34,44,63,139,378,154,Visual Learner
10,47,48,92,161,590,293,Visual Learner
13,14,34,51,300,172,107,Visual Learner
11,70,91,21,217,403,262,Comprehensive Learner
10,14,71,92,49,182,359,Visual Learner
15,5,31,59,206,378,349,Visual Learner
12,80,67,9,128,537,371,Auditory Learner
13,67,70,83,276,472,211,Visual Learner
10,21,38,79,47,304,249,Visual Learner
11,31,47,5,154,516,166,Comprehensive Learner
13,21,90,80,182,212,197,Comprehensive Learner
10,26,36,5,98,74,127,Comprehensive Learner
13,14,59,85,175,502,93,Visual Learner
11,43,80,81,74,363,87,Visual Learner
12,85,73,95,49,304,330,Visual Learner
11,91,3,27,276,514,363,Auditory Learner
16,8,22,41,232,418,65,Visual Learner
12,33,13,73,38,111,367,Visual Learner
10,99,4,40,209,70,127,Auditory Learner
14,72,65,62,185,286,146,Auditory Learner
10,14,23,21,48,173,276,Comprehensive Learner
13,61,17,91,132,596,351,Visual Learner
9,44,26,78,275,146,243,Visual Learner
10,83,23,28,114,309,108,Auditory Learner
13,71,28,70,263,309,119,Auditory Learner
14,57,10,33,164,480,391,Auditory Learner
13,91,17,95,66,269,196,Visual Learner
12,18,3,1,121,580,165,Auditory Learner
12,15,32,25,46,116,400,Comprehensive Learner
10,74,77,74,119,122,354,Comprehensive Learner
11,7,41,88,194,397,64,Visual Learner
12,32,31,18,282,591,66,Auditory Learner
15,73,50,19,110,65,394,Auditory Learner
13,17,3,32,213,570,61,Visual Learner
9,34,19,80,278,520,267,Visual Learner
13,42,84,93,244,415,342,Visual Learner
12,49,66,81,187,278,243,Visual Learner
11,2,88,95,208,426,350,Visual Learner
14,90,67,3,49,423,304,Auditory Learner
15,58,61,31,176,449,93,Comprehensive Learner
14,27,57,18,97,354,359,Comprehensive Learner
11,45,46,2,106,564,138,Comprehensive Learner
12,63,74,91,131,347,122,Visual Learner
13,69,79,60,169,236,259,Comprehensive Learner
14,46,58,37,102,358,47,Comprehensive Learner
12,13,99,5,236,343,151,Comprehensive Learner
12,6,5,55,242,113,292,Visual Learner
10,73,94,39,108,379,263,Comprehensive Learner
10,78,39,80,142,538,252,Visual Learner
14,30,76,68,282,280,177,Comprehensive Learner
15,92,22,82,162,402,183,Auditory Learner
12,80,51,41,226,273,50,Auditory Learner
15,50,3,98,54,381,58,Visual Learner
13,28,36,85,130,74,91,Visual Learner
11,14,41,87,274,539,244,Visual Learner
13,89,100,73,60,193,182,Comprehensive Learner
16,75,43,1,285,83,81,Auditory Learner
12,24,96,27,235,436,395,Comprehensive Learner
16,60,41,100,97,201,135,Visual Learner
8,40,28,16,244,498,378,Auditory Learner
14,68,100,69,151,383,374,Comprehensive Learner
13,3,18,68,75,181,205,Visual Learner
12,56,83,38,98,359,125,Comprehensive Learner
13,30,31,6,56,400,344,Comprehensive Learner
9,2,43,31,200,238,372,Comprehensive Learner
12,66,54,3,274,267,123,Auditory Learner
13,89,79,20,278,225,344,Auditory Learner
15,49,4,31,31,100,374,Auditory Learner
11,16,45,81,49,134,238,Visual Learner
11,59,75,96,286,539,189,Visual Learner
11,73,44,13,278,407,89,Auditory Learner
14,65,20,69,182,331,379,Visual Learner
13,87,77,74,166,225,163,Auditory Learner
11,74,100,45,251,145,58,Comprehensive Learner
14,23,21,19,240,214,386,Auditory Learner
13,98,29,92,218,282,111,Auditory Learner
14,86,22,57,261,476,185,Auditory Learner
11,31,4,98,165,421,305,Visual Learner
12,86,62,79,45,405,89,Auditory Learner
12,97,92,47,143,205,88,Auditory Learner
10,18,58,6,293,126,138,Comprehensive Learner
13,65,93,39,102,576,62,Comprehensive Learner
13,59,81,58,253,118,115,Comprehensive Learner
13,65,51,35,63,75,152,Auditory Learner
12,14,64,43,274,545,322,Comprehensive Learner
10,84,38,30,267,235,45,Auditory Learner
12,34,80,41,47,381,319,Comprehensive Learner
12,68,2,43,73,520,125,Auditory Learner
11,26,41,42,172,195,362,Visual Learner
12,87,70,42,44,487,109,Auditory Learner
13,6,26,46,122,381,373,Visual Learner
16,5,27,5,244,395,337,Comprehensive Learner
13,32,53,92,278,572,355,Visual Learner
13,57,94,90,100,230,378,Comprehensive Learner
12,48,14,65,138,188,215,Visual Learner
9,16,52,85,189,477,270,Visual Learner
12,41,71,8,200,456,126,Comprehensive Learner
13,93,69,10,42,120,147,Auditory Learner
17,71,91,79,249,176,246,Comprehensive Learner
12,39,3,76,214,532,261,Visual Learner
13,45,93,17,238,456,264,Comprehensive Learner
12,70,16,24,135,277,221,Auditory Learner
10,69,33,96,241,536,186,Visual Learner
15,67,5,73,261,327,240,Visual Learner
14,0,35,57,242,135,110,Visual Learner
14,78,98,29,225,128,63,Comprehensive Learner
11,94,38,0,278,504,400,Auditory Learner
15,88,79,62,293,357,375,Auditory Learner
10,96,65,96,246,533,177,Comprehensive Learner
14,51,7,78,292,219,188,Visual Learner
17,34,14,28,199,67,103,Auditory Learner
11,68,62,65,185,544,180,Auditory Learner
11,4,90,74,99,147,281,Comprehensive Learner
13,99,79,52,263,200,286,Auditory Learner
11,16,64,97,83,600,110,Visual Learner
9,52,58,18,199,584,287,Comprehensive Learner
13,51,9,65,65,402,144,Visual Learner
10,13,6,83,288,275,91,Visual Learner
13,28,73,51,280,565,297,Comprehensive Learner
11,7,75,30,42,133,158,Comprehensive Learner
16,97,80,59,188,128,43,Auditory Learner
11,0,11,67,58,282,91,Visual Learner
12,28,78,92,86,445,46,Visual Learner
14,35,45,29,190,344,40,Comprehensive Learner
10,50,31,12,295,181,378,Auditory Learner
13,36,31,14,259,500,225,Auditory Learner
15,92,89,19,222,516,229,Auditory Learner
9,68,77,33,137,223,389,Comprehensive Learner
13,52,89,91,287,322,153,Visual Learner
13,95,60,19,139,151,233,Auditory Learner
14,51,68,49,159,395,94,Comprehensive Learner
10,87,60,88,152,373,156,Visual Learner
10,82,45,26,145,525,308,Auditory Learner
14,11,67,29,259,460,323,Comprehensive Learner
13,51,91,55,262,544,309,Comprehensive Learner
13,0,54,83,263,336,311,Visual Learner
13,6,0,64,220,125,384,Visual Learner
11,16,76,98,54,260,137,Visual Learner
13,97,66,54,195,527,208,Auditory Learner
13,42,48,23,239,493,196,Comprehensive Learner
11,70,24,24,56,197,314,Auditory Learner
16,16,15,52,207,111,187,Visual Learner
13,58,84,75,73,511,316,Comprehensive Learner
10,2,12,10,101,217,187,Comprehensive Learner
14,28,51,93,251,265,387,Visual Learner
11,21,35,59,257,401,342,Visual Learner
14,37,71,76,262,375,130,Visual Learner
15,53,43,46,297,195,83,Auditory Learner
11,92,82,24,283,134,277,Auditory Learner
14,49,46,24,192,508,153,Auditory Learner
13,68,79,16,35,128,128,Comprehensive Learner
14,29,75,11,76,261,41,Comprehensive Learner
16,22,19,51,97,226,210,Visual Learner
12,84,17,10,283,180,127,Auditory Learner
11,89,53,9,88,156,264,Auditory Learner
11,46,11,80,148,436,186,Visual Learner
11,20,24,59,215,550,129,Visual Learner
12,19,59,53,77,112,208,Comprehensive Learner
13,22,74,79,220,68,362,Visual Learner
13,67,85,62,294,390,130,Comprehensive Learner
14,20,33,19,201,310,53,Comprehensive Learner
13,20,12,4,75,419,187,Auditory Learner
15,0,37,40,172,408,330,Visual Learner
12,14,11,62,275,183,96,Visual Learner
18,16,35,55,245,258,41,Visual Learner
14,50,27,31,205,470,105,Auditory Learner
11,62,90,26,174,439,384,Comprehensive Learner
10,13,38,67,64,564,126,Visual Learner
13,58,76,47,161,154,284,Comprehensive Learner
12,82,42,6,182,89,276,Auditory Learner
14,49,90,45,77,151,128,Comprehensive Learner
13,33,30,77,197,74,386,Visual Learner
12,5,1,87,207,519,91,Visual Learner
11,48,81,17,292,82,242,Comprehensive Learner
9,5,89,37,124,385,248,Comprehensive Learner
12,68,41,64,259,146,182,Auditory Learner
14,6,30,16,220,252,154,Comprehensive Learner
13,96,60,89,173,322,326,Auditory Learner
10,76,55,85,193,488,101,Visual Learner
13,50,85,81,48,419,73,Comprehensive Learner
13,0,99,37,97,492,331,Comprehensive Learner
11,12,82,91,127,567,160,Visual Learner
13,42,13,84,36,108,143,Visual Learner
13,26,13,62,206,227,83,Visual Learner
10,70,28,96,235,500,230,Visual Learner
13,2,80,93,258,287,372,Visual Learner
14,57,49,41,148,273,286,Auditory Learner
15,88,49,7,299,213,57,Auditory Learner
15,96,62,29,110,466,340,Auditory Learner
10,16,100,63,189,77,147,Comprehensive Learner
11,44,72,8,217,526,65,Comprehensive Learner
14,77,64,96,217,403,245,Visual Learner
14,100,67,56,223,383,396,Auditory Learner
14,57,70,58,289,305,370,Comprehensive Learner
18,55,10,92,220,119,135,Visual Learner
14,53,13,94,135,553,319,Visual Learner
15,86,82,66,158,108,262,Auditory Learner
14,87,2,74,126,312,271,Auditory Learner
14,28,7,4,93,442,400,Auditory Learner
12,53,92,94,157,368,239,Visual Learner
14,26,100,83,252,117,78,Comprehensive Learner
11,44,42,3,133,123,239,Auditory Learner
12,86,8,7,181,184,198,Auditory Learner
12,30,18,41,143,120,378,Visual Learner
13,35,11,34,84,439,206,Auditory Learner
17,80,26,12,150,197,263,Auditory Learner
9,60,100,4,246,125,316,Comprehensive Learner
14,36,57,39,152,238,318,Comprehensive Learner
9,66,24,18,32,230,93,Auditory Learner
12,35,44,81,121,403,203,Visual Learner
15,4,47,96,193,246,182,Visual Learner
13,45,49,3,148,286,115,Comprehensive Learner
10,78,80,58,90,325,269,Comprehensive Learner
11,51,43,17,243,251,365,Auditory Learner
14,48,58,23,276,185,104,Comprehensive Learner
11,5,32,92,264,533,269,Visual Learner
13,9,77,30,107,158,345,Comprehensive Learner
13,95,27,57,53,403,156,Auditory Learner
11,22,17,27,130,302,279,Visual Learner
17,16,54,8,280,79,382,Comprehensive Learner
14,83,32,44,152,418,296,Auditory Learner
8,43,14,89,244,492,60,Visual Learner
13,40,60,48,291,546,96,Comprehensive Learner
11,14,10,1,152,389,186,Auditory Learner
14,43,35,5,281,366,68,Auditory Learner
11,57,14,28,187,244,257,Auditory Learner
12,85,52,25,178,394,73,Auditory Learner
14,49,61,27,94,565,376,Comprehensive Learner
14,51,47,6,33,522,93,Auditory Learner
10,69,93,33,203,62,71,Comprehensive Learner
12,67,14,55,165,234,69,Auditory Learner
12,62,62,9,273,592,390,Social Learner
11,57,86,56,89,357,364,Comprehensive Learner
16,22,42,46,74,177,68,Visual Learner
13,43,49,85,101,265,310,Visual Learner
10,82,59,26,124,194,118,Auditory Learner
14,94,58,38,60,262,348,Auditory Learner
17,43,14,21,185,94,274,Auditory Learner
15,51,28,18,269,89,398,Auditory Learner
9,66,74,99,93,487,185,Visual Learner
12,27,81,8,138,316,205,Comprehensive Learner
15,66,39,18,97,440,125,Auditory Learner
11,77,30,1,64,241,205,Auditory Learner
13,17,72,91,280,267,94,Visual Learner
14,26,85,60,65,498,362,Comprehensive Learner
11,50,10,58,161,401,292,Visual Learner
12,59,80,85,251,437,92,Visual Learner
8,73,96,69,196,470,181,Comprehensive Learner
10,48,61,70,89,586,86,Visual Learner
12,14,74,69,142,442,134,Comprehensive Learner
10,82,7,32,250,524,384,Auditory Learner
16,72,50,77,97,452,250,Visual Learner
10,67,56,64,292,210,179,Auditory Learner
12,14,3,24,298,428,302,Visual Learner
13,50,35,69,160,166,181,Visual Learner
15,47,18,27,296,198,181,Auditory Learner
10,71,23,17,237,339,218,Auditory Learner
15,0,40,62,241,131,282,Visual Learner
13,6,48,90,80,564,181,Visual Learner
11,52,81,48,71,165,382,Comprehensive Learner
13,30,96,65,276,560,372,Comprehensive Learner
13,17,45,39,224,218,139,Comprehensive Learner
11,11,35,84,273,209,147,Visual Learner
13,47,9,86,229,73,360,Visual Learner
12,29,77,65,150,64,332,Comprehensive Learner
13,96,6,79,232,332,235,Auditory Learner
14,6,11,3,135,397,311,Comprehensive Learner
16,91,85,33,279,270,282,Auditory Learner
10,2,90,4,108,386,263,Comprehensive Learner
17,62,47,97,194,525,151,Visual Learner
9,5,36,21,148,138,327,Comprehensive Learner
12,94,74,19,86,236,380,Auditory Learner
14,14,35,46,217,191,197,Visual Learner
13,70,59,76,81,351,187,Visual Learner
11,42,76,33,101,437,225,Comprehensive Learner
12,93,95,43,270,475,68,Comprehensive Learner
12,90,7,5,129,403,274,Auditory Learner
11,80,6,55,184,436,66,Auditory Learner
14,17,42,28,88,544,290,Comprehensive Learner
13,21,57,96,288,205,60,Visual Learner
11,60,80,52,230,591,131,Comprehensive Learner
14,60,85,0,205,355,211,Comprehensive Learner
13,52,45,58,127,404,153,Visual Learner
14,25,33,47,211,456,137,Visual Learner
14,90,83,6,64,534,294,Auditory Learner
11,39,71,85,116,584,61,Visual Learner
11,87,21,31,187,105,81,Auditory Learner
14,7,90,77,145,487,160,Comprehensive Learner
14,20,97,60,37,282,250,Comprehensive Learner
12,92,20,56,136,82,229,Auditory Learner
13,42,14,50,136,126,343,Visual Learner
15,20,4,87,143,542,175,Visual Learner
11,2,16,18,39,265,323,Visual Learner
14,30,71,26,89,317,92,Comprehensive Learner
12,26,18,62,295,312,395,Visual Learner
12,26,4,59,131,248,168,Visual Learner
15,72,22,60,92,212,118,Auditory Learner
14,56,82,60,204,136,262,Comprehensive Learner
14,96,13,86,226,599,248,Auditory Learner
15,32,9,44,251,428,383,Visual Learner
13,89,30,20,219,213,347,Auditory Learner
14,91,12,43,157,214,372,Auditory Learner
12,43,21,92,75,330,252,Visual Learner
13,42,36,0,98,568,63,Auditory Learner
12,30,38,94,87,449,229,Visual Learner
13,64,9,90,245,127,223,Visual Learner
14,83,30,43,144,191,253,Auditory Learner
11,75,42,99,39,324,132,Visual Learner
17,16,98,61,298,279,147,Comprehensive Learner
10,14,76,60,115,348,243,Comprehensive Learner
10,33,93,90,176,138,315,Comprehensive Learner
15,79,97,78,147,379,73,Comprehensive Learner
14,3,35,88,164,377,310,Visual Learner
14,71,34,78,44,546,346,Visual Learner
14,97,67,82,235,450,284,Auditory Learner
12,88,54,49,262,98,166,Auditory Learner
